Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,25.0,25.200001,24.41,24.620001,24.620001,3809074
2018-08-02,24.74,24.77,23.950001,24.059999,24.059999,4317267
2018-08-03,24.129999,24.41,23.91,24.23,24.23,2077180
2018-08-06,24.35,24.52,24.24,24.370001,24.370001,2307867
2018-08-07,24.459999,24.93,24.459999,24.66,24.66,2217056
2018-08-08,24.620001,24.83,24.49,24.790001,24.790001,2024651
2018-08-09,24.75,25.23,24.540001,25.23,25.23,3932516
2018-08-10,25.23,25.290001,24.709999,24.950001,24.950001,3632282
2018-08-13,24.870001,24.870001,24.549999,24.82,24.82,1766704
2018-08-14,24.940001,25.049999,24.68,24.809999,24.809999,2221013
2018-08-15,24.940001,25.0,24.190001,24.33,24.33,2509284
2018-08-16,24.52,24.59,24.23,24.35,24.35,1834974
2018-08-17,24.34,24.43,24.040001,24.41,24.41,2025448
2018-08-20,24.5,24.76,24.42,24.549999,24.549999,1636238
2018-08-21,24.549999,24.85,24.41,24.799999,24.799999,1743560
2018-08-22,24.75,24.950001,24.16,24.27,24.27,3176017
2018-08-23,24.27,24.379999,23.49,23.49,23.49,4243869
2018-08-24,23.51,23.73,23.23,23.379999,23.379999,2809149
2018-08-27,23.5,24.049999,23.459999,23.9,23.9,1573729
2018-08-28,24.08,24.35,24.059999,24.120001,24.120001,2549056
2018-08-29,24.17,24.299999,24.030001,24.24,24.24,1780239
2018-08-30,24.23,24.27,23.870001,24.08,24.08,2333294
2018-08-31,23.99,23.99,23.610001,23.700001,23.700001,2390931
2018-09-04,23.67,23.690001,23.07,23.370001,23.370001,2154014
2018-09-05,23.33,23.43,23.129999,23.190001,23.190001,2464401
2018-09-06,23.120001,23.26,22.92,22.969999,22.969999,2253122
2018-09-07,22.98,23.389999,22.870001,23.309999,23.309999,2250809
2018-09-10,23.27,23.370001,23.07,23.219999,23.219999,1480693
2018-09-11,23.48,23.48,22.879999,23.0,23.0,2070035
2018-09-12,23.07,23.65,23.049999,23.620001,23.620001,2569442
2018-09-13,23.629999,24.08,23.629999,23.75,23.75,2051128
2018-09-14,23.969999,23.98,23.629999,23.790001,23.790001,2105865
2018-09-17,23.43,23.690001,23.4,23.57,23.57,2186751
2018-09-18,23.65,24.4,23.65,24.389999,24.389999,3410902
2018-09-19,24.42,25.139999,24.360001,25.139999,25.139999,2900711
2018-09-20,25.030001,25.25,24.92,25.040001,25.040001,3247450
2018-09-21,25.290001,25.4,24.42,24.57,24.57,4948189
2018-09-24,24.35,24.49,24.17,24.370001,24.370001,2474652
2018-09-25,24.34,24.540001,23.16,23.379999,23.379999,3764642
2018-09-26,23.4,23.77,23.02,23.77,23.77,2710503
2018-09-27,23.85,23.99,23.469999,23.629999,23.629999,2352008
2018-09-28,23.57,23.610001,22.940001,23.23,23.23,2963458
2018-10-01,23.200001,23.23,22.639999,22.809999,22.809999,3236777
2018-10-02,22.690001,22.73,22.18,22.26,22.26,4416608
2018-10-03,22.43,22.51,22.200001,22.309999,22.309999,1805213
2018-10-04,22.280001,22.48,22.049999,22.049999,22.049999,2722867
2018-10-05,22.059999,22.1,21.83,21.91,21.91,1938479
2018-10-08,21.77,21.85,21.530001,21.700001,21.700001,1761155
2018-10-09,21.709999,22.040001,21.450001,21.65,21.65,2663632
2018-10-10,21.68,21.68,20.610001,20.620001,20.620001,4484651
2018-10-11,20.209999,21.16,20.030001,20.75,20.75,5627661
2018-10-12,21.07,21.379999,20.780001,21.15,21.15,3905179
2018-10-15,21.110001,21.32,20.9,21.200001,21.200001,2935315
2018-10-16,21.200001,21.84,20.959999,21.65,21.65,3768647
2018-10-17,21.76,21.82,20.41,20.65,20.65,5217111
2018-10-18,20.65,21.09,20.6,20.68,20.68,2721052
2018-10-19,20.690001,20.690001,19.305,20.16,20.16,5880226
2018-10-22,20.360001,20.629999,19.535,19.75,19.75,2932595
2018-10-23,19.25,20.1,19.055,20.030001,20.030001,6235014
